Rep,Line,Treatment,Treatment1,Treatment2,meanLnFitness,Time,Generation,meanLnFitnessMixed
1,m1,Clone,Single,Clone,-0.143999191,0,0,-0.143999191
1,p2,Clone,Single,Clone,-0.10411742,0,0,-0.10411742
1,m4,Clone,Single,Clone,-0.213115926,0,0,-0.213115926
1,m5,Clone,Single,Clone,-0.171001035,0,0,-0.171001035
1,p5,Clone,Single,Clone,-0.138164261,0,0,-0.138164261
1,m6,Clone,Single,Clone,-0.204254546,0,0,-0.204254546
2,m1,Clone,Single,Clone,-0.110507149,0,0,-0.110507149
2,p2,Clone,Single,Clone,-0.199165898,0,0,-0.199165898
2,m4,Clone,Single,Clone,-0.217913379,0,0,-0.217913379
2,m5,Clone,Single,Clone,-0.069231412,0,0,-0.069231412
2,p5,Clone,Single,Clone,-0.115700262,0,0,-0.115700262
2,m6,Clone,Single,Clone,-0.203488605,0,0,-0.203488605
3,m1,Clone,Single,Clone,-0.090089179,0,0,-0.090089179
3,p2,Clone,Single,Clone,-0.109528566,0,0,-0.109528566
3,m4,Clone,Single,Clone,-0.21915683,0,0,-0.21915683
3,m5,Clone,Single,Clone,-0.188478747,0,0,-0.188478747
3,p5,Clone,Single,Clone,-0.154521855,0,0,-0.154521855
3,m6,Clone,Single,Clone,-0.173156308,0,0,-0.173156308
1,m1,Clone,Single,Clone,-0.071207751,75,500,-0.071207751
1,p2,Clone,Single,Clone,0.044844924,75,500,0.044844924
1,m4,Clone,Single,Clone,-0.017217238,75,500,-0.017217238
1,m5,Clone,Single,Clone,-0.006889402,75,500,-0.006889402
1,p5,Clone,Single,Clone,-0.016995812,75,500,-0.016995812
1,m6,Clone,Single,Clone,-0.047697221,75,500,-0.047697221
2,m1,Clone,Single,Clone,-0.041348777,75,500,-0.041348777
2,p2,Clone,Single,Clone,0.044064635,75,500,0.044064635
2,m4,Clone,Single,Clone,-0.065272188,75,500,-0.065272188
2,m5,Clone,Single,Clone,-0.020464055,75,500,-0.020464055
2,p5,Clone,Single,Clone,-0.055060051,75,500,-0.055060051
2,m6,Clone,Single,Clone,-0.098886174,75,500,-0.098886174
3,m1,Clone,Single,Clone,-0.039372127,75,500,-0.039372127
3,p2,Clone,Single,Clone,0.057316152,75,500,0.057316152
3,m4,Clone,Single,Clone,-0.049006797,75,500,-0.049006797
3,m5,Clone,Single,Clone,-0.004878144,75,500,-0.004878144
3,p5,Clone,Single,Clone,-0.047388361,75,500,-0.047388361
3,m6,Clone,Single,Clone,-0.024105099,75,500,-0.024105099
1,m1,Clone,Single,Clone,0.019916035,300,2000,0.019916035
1,p2,Clone,Single,Clone,0.036842356,300,2000,0.036842356
1,m4,Clone,Single,Clone,0.04717989,300,2000,0.04717989
1,m5,Clone,Single,Clone,0.041913098,300,2000,0.041913098
1,p5,Clone,Single,Clone,0.091464633,300,2000,0.091464633
1,m6,Clone,Single,Clone,0.011922646,300,2000,0.011922646
2,m1,Clone,Single,Clone,0.063654364,300,2000,0.063654364
2,p2,Clone,Single,Clone,0.066598556,300,2000,0.066598556
2,m4,Clone,Single,Clone,0.076351784,300,2000,0.076351784
2,m5,Clone,Single,Clone,-0.017840332,300,2000,-0.017840332
2,p5,Clone,Single,Clone,-0.020094306,300,2000,-0.020094306
2,m6,Clone,Single,Clone,0.018116475,300,2000,0.018116475
3,m1,Clone,Single,Clone,0.074587822,300,2000,0.074587822
3,p2,Clone,Single,Clone,0.007954004,300,2000,0.007954004
3,m4,Clone,Single,Clone,-0.032542713,300,2000,-0.032542713
3,m5,Clone,Single,Clone,-0.011117556,300,2000,-0.011117556
3,p5,Clone,Single,Clone,-0.042020984,300,2000,-0.042020984
3,m6,Clone,Single,Clone,-0.000947478,300,2000,-0.000947478
1,m1,Mixed-Clones,Mixed,Clone,-0.145553859,0,0,-0.147279576
1,p2,Mixed-Clones,Mixed,Clone,-0.102957245,0,0,-0.147279576
1,m4,Mixed-Clones,Mixed,Clone,-0.189007404,0,0,-0.147279576
1,m5,Mixed-Clones,Mixed,Clone,-0.093581981,0,0,-0.147279576
1,p5,Mixed-Clones,Mixed,Clone,-0.093995355,0,0,-0.147279576
1,m6,Mixed-Clones,Mixed,Clone,-0.1831444,0,0,-0.147279576
2,m1,Mixed-Clones,Mixed,Clone,-0.117018692,0,0,-0.147279576
2,p2,Mixed-Clones,Mixed,Clone,-0.156629387,0,0,-0.147279576
2,m4,Mixed-Clones,Mixed,Clone,-0.180741142,0,0,-0.147279576
2,m5,Mixed-Clones,Mixed,Clone,-0.12937857,0,0,-0.147279576
2,p5,Mixed-Clones,Mixed,Clone,-0.156548187,0,0,-0.147279576
2,m6,Mixed-Clones,Mixed,Clone,-0.175255742,0,0,-0.147279576
3,m1,Mixed-Clones,Mixed,Clone,-0.151893615,0,0,-0.147279576
3,p2,Mixed-Clones,Mixed,Clone,-0.126808925,0,0,-0.147279576
3,m4,Mixed-Clones,Mixed,Clone,-0.20580828,0,0,-0.147279576
3,m5,Mixed-Clones,Mixed,Clone,-0.11524038,0,0,-0.147279576
3,p5,Mixed-Clones,Mixed,Clone,-0.147457049,0,0,-0.147279576
3,m6,Mixed-Clones,Mixed,Clone,-0.180012151,0,0,-0.147279576
1,m1,Mixed-Clones,Mixed,Clone,-0.033521145,75,500,-0.033521145
