Rep,Treatment,Line2,Line,Line3,Generation,T,Red,White,CFU,ratioRW,log2ratio
1,Single-Clone,m1,1,1,0,0,291,0,291,NA,NA
1,Single-Clone,p2,2,2,0,0,0,276.5,276.5,0,NA
1,Single-Clone,m4,4,3,0,0,182.5,0,182.5,NA,NA
1,Single-Clone,m5,-5,4,0,0,329,0,329,NA,NA
1,Single-Clone,p5,5,5,0,0,0,162,162,0,NA
1,Single-Clone,m6,6,6,0,0,291,0,291,NA,NA
1,Single-Population,m1,1,1,0,0,263.5,0,263.5,NA,NA
1,Single-Population,p2,2,2,0,0,0,264.5,264.5,0,NA
1,Single-Population,m4,4,3,0,0,227,0,227,NA,NA
1,Single-Population,m5,-5,4,0,0,288,0,288,NA,NA
1,Single-Population,p5,5,5,0,0,0,226.5,226.5,0,NA
1,Single-Population,m6,6,6,0,0,253.5,0,253.5,NA,NA
1,Mixed-Clones,m1,1,1,0,0,230,82,312,2.804878049,1.487938046
1,Mixed-Clones,p2,2,2,0,0,186,75,261,2.48,1.310340121
1,Mixed-Clones,m4,4,3,0,0,204,75,279,2.72,1.443606651
1,Mixed-Clones,m5,-5,4,0,0,230,82,312,2.804878049,1.487938046
1,Mixed-Clones,p5,5,5,0,0,186,75,261,2.48,1.310340121
1,Mixed-Clones,m6,6,6,0,0,204,75,279,2.72,1.443606651
1,Mixed-Populations,m1,1,1,0,0,178,99,277,1.797979798,0.846376811
1,Mixed-Populations,p2,2,2,0,0,179,56,235,3.196428571,1.676460855
1,Mixed-Populations,m4,4,3,0,0,171,71,242,2.408450704,1.268105395
1,Mixed-Populations,m5,-5,4,0,0,178,99,277,1.797979798,0.846376811
1,Mixed-Populations,p5,5,5,0,0,179,56,235,3.196428571,1.676460855
1,Mixed-Populations,m6,6,6,0,0,171,71,242,2.408450704,1.268105395
2,Single-Clone,m1,1,7,0,0,291,0,291,NA,NA
2,Single-Clone,p2,2,8,0,0,0,276.5,276.5,0,NA
2,Single-Clone,m4,4,9,0,0,182.5,0,182.5,NA,NA
2,Single-Clone,m5,-5,10,0,0,329,0,329,NA,NA
2,Single-Clone,p5,5,11,0,0,0,162,162,0,NA
2,Single-Clone,m6,6,12,0,0,291,0,291,NA,NA
2,Single-Population,m1,1,7,0,0,263.5,0,263.5,NA,NA
2,Single-Population,p2,2,8,0,0,0,264.5,264.5,0,NA
2,Single-Population,m4,4,9,0,0,227,0,227,NA,NA
2,Single-Population,m5,-5,10,0,0,288,0,288,NA,NA
2,Single-Population,p5,5,11,0,0,0,226.5,226.5,0,NA
2,Single-Population,m6,6,12,0,0,253.5,0,253.5,NA,NA
2,Mixed-Clones,m1,1,7,0,0,230,82,312,2.804878049,1.487938046
2,Mixed-Clones,p2,2,8,0,0,186,75,261,2.48,1.310340121
2,Mixed-Clones,m4,4,9,0,0,204,75,279,2.72,1.443606651
2,Mixed-Clones,m5,-5,10,0,0,230,82,312,2.804878049,1.487938046
2,Mixed-Clones,p5,5,11,0,0,186,75,261,2.48,1.310340121
2,Mixed-Clones,m6,6,12,0,0,204,75,279,2.72,1.443606651
2,Mixed-Populations,m1,1,7,0,0,178,99,277,1.797979798,0.846376811
2,Mixed-Populations,p2,2,8,0,0,179,56,235,3.196428571,1.676460855
2,Mixed-Populations,m4,4,9,0,0,171,71,242,2.408450704,1.268105395
2,Mixed-Populations,m5,-5,10,0,0,178,99,277,1.797979798,0.846376811
2,Mixed-Populations,p5,5,11,0,0,179,56,235,3.196428571,1.676460855
2,Mixed-Populations,m6,6,12,0,0,171,71,242,2.408450704,1.268105395
3,Single-Clone,m1,1,13,0,0,291,0,291,NA,NA
3,Single-Clone,p2,2,14,0,0,0,276.5,276.5,0,NA
3,Single-Clone,m4,4,15,0,0,182.5,0,182.5,NA,NA
3,Single-Clone,m5,-5,16,0,0,329,0,329,NA,NA
3,Single-Clone,p5,5,17,0,0,0,162,162,0,NA
3,Single-Clone,m6,6,18,0,0,291,0,291,NA,NA
3,Single-Population,m1,1,13,0,0,263.5,0,263.5,NA,NA
3,Single-Population,p2,2,14,0,0,0,264.5,264.5,0,NA
3,Single-Population,m4,4,15,0,0,227,0,227,NA,NA
3,Single-Population,m5,-5,16,0,0,288,0,288,NA,NA
3,Single-Population,p5,5,17,0,0,0,226.5,226.5,0,NA
3,Single-Population,m6,6,18,0,0,253.5,0,253.5,NA,NA
3,Mixed-Clones,m1,1,13,0,0,230,82,312,2.804878049,1.487938046
3,Mixed-Clones,p2,2,14,0,0,186,75,261,2.48,1.310340121
3,Mixed-Clones,m4,4,15,0,0,204,75,279,2.72,1.443606651
3,Mixed-Clones,m5,-5,16,0,0,230,82,312,2.804878049,1.487938046
3,Mixed-Clones,p5,5,17,0,0,186,75,261,2.48,1.310340121
3,Mixed-Clones,m6,6,18,0,0,204,75,279,2.72,1.443606651
3,Mixed-Populations,m1,1,13,0,0,178,99,277,1.797979798,0.846376811
3,Mixed-Populations,p2,2,14,0,0,179,56,235,3.196428571,1.676460855
3,Mixed-Populations,m4,4,15,0,0,171,71,242,2.408450704,1.268105395
3,Mixed-Populations,m5,-5,16,0,0,178,99,277,1.797979798,0.846376811
3,Mixed-Populations,p5,5,17,0,0,179,56,235,3.196428571,1.676460855
3,Mixed-Populations,m6,6,18,0,0,171,71,242,2.408450704,1.268105395
1,Single-Clone,m1,1,1,6.64385619,1,367,NA,367,NA,NA
1,Single-Clone,p2,2,2,6.64385619,1,NA,333,333,NA,NA
1,Single-Clone,m4,4,3,6.64385619,1,120,NA,120,NA,NA
1,Single-Clone,m5,-5,4,6.64385619,1,325,NA,325,NA,NA
1,Single-Clone,p5,5,5,6.64385619,1,NA,321,321,NA,NA
1,Single-Clone,m6,6,6,6.64385619,1,196,NA,196,NA,NA
1,Single-Population,m1,1,1,6.64385619,1,388,NA,388,NA,NA
1,Single-Population,p2,2,2,6.64385619,1,NA,283,283,NA,NA
1,Single-Population,m4,4,3,6.64385619,1,89,NA,89,NA,NA
1,Single-Population,m5,-5,4,6.64385619,1,276,NA,276,NA,NA
1,Single-Population,p5,5,5,6.64385619,1,NA,265,265,NA,NA
1,Single-Population,m6,6,6,6.64385619,1,236,NA,236,NA,NA
1,Mixed-Clones,m1,1,1,6.64385619,1,218,154,372,1.415584416,0.501397785
1,Mixed-Clones,p2,2,2,6.64385619,1,248,187,435,1.326203209,0.407301851
1,Mixed-Clones,m4,4,3,6.64385619,1,250,167,417,1.497005988,0.582079992
1,Mixed-Clones,m5,-5,4,6.64385619,1,216,136,352,1.588235294,0.667424661
1,Mixed-Clones,p5,5,5,6.64385619,1,207,129,336,1.604651163,0.682259702
1,Mixed-Clones,m6,6,6,6.64385619,1,174,156,330,1.115384615,0.157541276
1,Mixed-Populations,m1,1,1,6.64385619,1,109,215,324,0.506976744,-0.980008525
1,Mixed-Populations,p2,2,2,6.64385619,1,94,178,272,0.528089888,-0.921144578
1,Mixed-Populations,m4,4,3,6.64385619,1,143,258,401,0.554263566,-0.851355918
1,Mixed-Populations,m5,-5,4,6.64385619,1,145,177,322,0.81920904,-0.287696459
1,Mixed-Populations,p5,5,5,6.64385619,1,105,181,286,0.580110497,-0.78560037
1,Mixed-Populations,m6,6,6,6.64385619,1,93,194,287,0.479381443,-1.060754032
2,Single-Clone,m1,1,7,6.64385619,1,399,NA,399,NA,NA
2,Single-Clone,p2,2,8,6.64385619,1,NA,293,293,NA,NA
2,Single-Clone,m4,4,9,6.64385619,1,123,NA,123,NA,NA
2,Single-Clone,m5,-5,10,6.64385619,1,370,NA,370,NA,NA
2,Single-Clone,p5,5,11,6.64385619,1,NA,408,408,NA,NA
2,Single-Clone,m6,6,12,6.64385619,1,227,NA,227,NA,NA
2,Single-Population,m1,1,7,6.64385619,1,319,NA,319,NA,NA
2,Single-Population,p2,2,8,6.64385619,1,NA,320,320,NA,NA
2,Single-Population,m4,4,9,6.64385619,1,111,NA,111,NA,NA
2,Single-Population,m5,-5,10,6.64385619,1,264,NA,264,NA,NA
2,Single-Population,p5,5,11,6.64385619,1,NA,272,272,NA,NA
2,Single-Population,m6,6,12,6.64385619,1,257,NA,257,NA,NA
2,Mixed-Clones,m1,1,7,6.64385619,1,190,236,426,0.805084746,-0.312787441
2,Mixed-Clones,p2,2,8,6.64385619,1,154,125,279,1.232,0.301002256
2,Mixed-Clones,m4,4,9,6.64385619,1,196,147,343,1.333333333,0.415037499
2,Mixed-Clones,m5,-5,10,6.64385619,1,171,142,313,1.204225352,0.268105395
2,Mixed-Clones,p5,5,11,6.64385619,1,200,124,324,1.612903226,0.68965988
2,Mixed-Clones,m6,6,12,6.64385619,1,140,83,223,1.686746988,0.754243586
2,Mixed-Populations,m1,1,7,6.64385619,1,111,202,313,0.54950495,-0.863795618
2,Mixed-Populations,p2,2,8,6.64385619,1,77,158,235,0.487341772,-1.036994208
2,Mixed-Populations,m4,4,9,6.64385619,1,107,177,284,0.604519774,-0.726138564
2,Mixed-Populations,m5,-5,10,6.64385619,1,109,191,300,0.570680628,-0.809244504
2,Mixed-Populations,p5,5,11,6.64385619,1,116,201,317,0.577114428,-0.793070696
2,Mixed-Populations,m6,6,12,6.64385619,1,116,234,350,0.495726496,-1.012383724
3,Single-Clone,m1,1,13,6.64385619,1,603,NA,603,NA,NA
3,Single-Clone,p2,2,14,6.64385619,1,NA,414,414,NA,NA
3,Single-Clone,m4,4,15,6.64385619,1,108,NA,108,NA,NA
3,Single-Clone,m5,-5,16,6.64385619,1,598,NA,598,NA,NA
3,Single-Clone,p5,5,17,6.64385619,1,NA,353,353,NA,NA
3,Single-Clone,m6,6,18,6.64385619,1,266,NA,266,NA,NA
3,Single-Population,m1,1,13,6.64385619,1,409,NA,409,NA,NA
3,Single-Population,p2,2,14,6.64385619,1,NA,387,387,NA,NA
