Block,Block_aov,Rep,Line,Ara,Treatment,Treatment2,Time,Red0,White0,Red1,White1,lnR.0.1.,lnW.0.1.,FitnessR.0.1.,FitnessW.0.1.,Fitness,LnFitness
1,1,1,m1,m,Clone,Clone,0,97,129,66,426,4.22011395,5.799797128,0.727631304,1.374322399,0.727631304,-0.138088625
2,2,1,m1,m,Clone,Clone,0,232,362,68,479,3.377940519,4.885226572,0.691460359,1.446214504,0.691460359,-0.160232713
3,3,1,m1,m,Clone,Clone,0,76,125,38,256,3.912023005,5.322033893,0.735061648,1.360430111,0.735061648,-0.133676236
1,1,1,p2,p,Clone,Clone,0,188,83,447,78,5.471286818,4.543038405,1.204323259,0.830341848,0.830341848,-0.080743074
2,2,1,p2,p,Clone,Clone,0,412,181,408,69,4.595414011,3.640779659,1.262206022,0.79226369,0.79226369,-0.101130248
3,3,1,p2,p,Clone,Clone,0,185,105,388,55,5.345819701,3.958543021,1.350451333,0.740493178,0.740493178,-0.130478938
1,1,1,m4,m,Clone,Clone,0,31,122,6,537,2.962942451,6.087147236,0.486753866,2.054426415,0.486753866,-0.31269059
2,2,1,m4,m,Clone,Clone,0,36,372,15,451,3.729701449,4.797743671,0.77738656,1.286361318,0.77738656,-0.109362972
4,4,1,m4,m,Clone,Clone,0,44,142,11,287,3.218875825,5.308825344,0.606325433,1.649279324,0.606325433,-0.217294215
1,1,1,m5,m,Clone,Clone,0,171,100,92,465,3.985295207,6.142037406,0.648855574,1.541175016,0.648855574,-0.18785196
2,2,1,m5,m,Clone,Clone,0,263,404,64,403,3.191899237,4.60269187,0.693485318,1.441991594,0.693485318,-0.158962729
3,3,1,m5,m,Clone,Clone,0,102,128,45,330,3.786859862,5.552232577,0.68204273,1.466183798,0.68204273,-0.166188416
1,1,1,p5,p,Clone,Clone,0,165,138,452,103,5.612906892,4.312645489,1.301499719,0.768344384,0.768344384,-0.114444079
2,2,1,p5,p,Clone,Clone,0,441,285,455,77,4.636422729,3.296486428,1.406474084,0.710997814,0.710997814,-0.148131734
3,3,1,p5,p,Clone,Clone,0,169,160,331,66,5.277389846,3.719651113,1.418786248,0.704827807,0.704827807,-0.15191697
