Rep,Treatment2,side,Line,Ara,Red0,White0,Red1,White1,lnR,lnW,FitnessR,FitnessW,Fitness,LnFitness
1,Clone,light_green,m1,m,21,169,80,40,5.942674383,3.164150925,1.878126083,0.532445616,1.878126083,0.630274515
1,Clone,light_green,p2,p,157,14,104,91,4.19331528,6.476972363,0.647419048,1.544594654,1.544594654,0.434761516
1,Clone,light_green,m4,m,2,198,27,129,7.207859871,4.17671556,1.72572438,0.579466809,1.72572438,0.545646893
1,Clone,light_green,m5,m,29,224,125,115,6.066188093,3.938456262,1.540245134,0.649247304,1.540245134,0.431941582
1,Clone,light_green,p5,p,163,28,39,169,3.174981631,6.402864391,0.495868948,2.016661869,2.016661869,0.701443604
1,Clone,light_green,m6,m,30,236,53,175,5.174264718,4.306124355,1.201605967,0.832219569,1.201605967,0.183658968
2,Clone,none,m1,m,17,152,164,62,6.87182327,3.70842405,1.853030607,0.539656494,1.853030607,0.616822465
2,Clone,none,p2,p,105,21,83,81,4.370050444,5.955096903,0.733833641,1.362706673,1.362706673,0.309472923
2,Clone,none,m4,m,2,112,34,120,7.43838353,4.674163057,1.591382979,0.62838425,1.591382979,0.464603436
2,Clone,none,m5,m,24,189,124,88,6.247397921,3.840759985,1.626604616,0.61477755,1.626604616,0.486494785
2,Clone,none,p5,p,113,14,29,116,3.245078197,6.719703047,0.482919881,2.070736863,2.070736863,0.727904516
2,Clone,none,m6,m,27,196,51,160,5.241158953,4.402229342,1.190569265,0.839934332,1.190569265,0.174431567
3,Clone,yellow,m1,m,17,109,129,74,6.631769246,4.217887397,1.572296418,0.636012388,1.572296418,0.452537237
3,Clone,yellow,p2,p,99,24,111,102,4.719580537,6.052089169,0.779826669,1.282336242,1.282336242,0.248683603
3,Clone,yellow,m4,m,5,80,54,107,6.98471632,4.895972386,1.426624942,0.70095508,1.426624942,0.355311474
3,Clone,yellow,m5,m,35,99,168,69,6.173786104,4.24415684,1.454655503,0.687447989,1.454655503,0.374769105
3,Clone,yellow,p5,p,125,18,52,202,3.728100167,7.023066125,0.530836546,1.883819053,1.883819053,0.633301127
3,Clone,yellow,m6,m,18,123,101,164,6.329918945,4.892852258,1.293707353,0.77297234,1.293707353,0.257512014
1,Population,light_green,m1,m,42,139,192,51,6.12499594,3.602521886,1.700196733,0.588167228,1.700196733,0.53074397
1,Population,light_green,p2,p,151,13,84,91,4.018707148,6.551080335,0.613441897,1.630146237,1.630146237,0.488669727
1,Population,light_green,m4,m,11,254,32,100,5.673010816,3.673006105,1.544514399,0.647452689,1.544514399,0.434709556
1,Population,light_green,m5,m,36,173,133,68,5.912000376,3.671386297,1.610291018,0.621005762,1.610291018,0.476414919
1,Population,light_green,p5,p,237,32,30,141,2.538307427,6.088194174,0.416922876,2.398525139,2.398525139,0.874854023
1,Population,light_green,m6,m,28,270,69,217,5.50707218,4.386645581,1.255417626,0.796547682,1.255417626,0.227468287
2,Population,none,m1,m,40,184,219,100,6.305362462,3.995404614,1.578153672,0.633651854,1.578153672,0.456255602
2,Population,none,p2,p,131,16,85,67,4.172624119,6.037274083,0.691143728,1.446877052,1.446877052,0.369407477
2,Population,none,m4,m,4,242,34,164,6.745236349,4.216098888,1.59987622,0.625048355,1.59987622,0.469926264
2,Population,none,m5,m,51,204,108,132,5.35547578,4.169852115,1.284332306,0.77861469,1.284332306,0.250238977
2,Population,none,p5,p,132,21,33,171,3.218875825,6.702311305,0.480263551,2.082190078,2.082190078,0.733420262
2,Population,none,m6,m,24,266,109,173,6.118464238,4.174965472,1.465512536,0.682355132,1.465512536,0.382205035
3,Population,yellow,m1,m,50,189,195,65,5.966146739,3.537810441,1.686395255,0.592980796,1.686395255,0.522593266
3,Population,yellow,p2,p,116,27,103,97,4.486308983,5.884044298,0.762453298,1.31155574,1.31155574,0.27121402
3,Population,yellow,m4,m,4,239,57,123,7.261927093,3.940890989,1.842711994,0.542678402,1.842711994,0.611238396
3,Population,yellow,m5,m,50,183,125,121,5.521460918,4.191474579,1.317307505,0.759124196,1.317307505,0.275589884
3,Population,yellow,p5,p,148,34,33,183,3.104465474,6.288295814,0.493689477,2.025564745,2.025564745,0.705848548
5,Population,yellow,m6,m,39,285,115,220,5.686540668,4.346308552,1.308361015,0.764315039,1.308361015,0.26877522
